id,competition_id,edicion,juego,titulo,tipo,cupos,fecha,hora,formato,estructura,tamano_grupo,clasifican_grupo,vueltas_grupo,copa_portada,copa_fixture,premio_1,premio_2,inscripcion,estado,inscripciones_estado,ganador,segundo_lugar,foto_ganador,instagram_ganador,fecha_finalizacion,descripcion,destacado,activo,creado_en,copa_portada_file_id,copa_fixture_file_id,copa_portada_url,copa_fixture_url
fcm-flash-8,fcm-comp-01,1,fc-mobile,FC Mobile Cup Pro,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-pro.png,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-pro.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Copa rápida de FC Mobile para ocho participantes, eliminación directa y partido único.",SI,SI,,,,,
fcm-flash-16,fcm-comp-02,1,fc-mobile,FC Mobile Cup Elite,relampago,16,Por definir,Por definir,Octavos → Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-elite.png,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-elite.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Copa rápida de FC Mobile para dieciséis participantes, eliminación directa y partido único.",SI,SI,,,,,
fcm-liga-16,fcm-comp-07,1,fc-mobile,Liga GMAC,16,16,Por definir,Por definir,Liga · 15 jornadas · todos contra todos,league,,,1,assets/cups/fc-mobile/portadas/gmac-7.png,assets/cups/fc-mobile/fixture/gmac-7-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,16 participantes en una liga todos contra todos. Cada jugador disputa 15 partidos y la tabla se ordena por puntos.,SI,SI,,,,,
fcm-grupos-16,fcm-comp-08,1,fc-mobile,Copa Grupos,16,16,Por definir,Por definir,4 grupos + eliminatorias,groups,4,2,1,assets/cups/fc-mobile/portadas/gmac-8.png,assets/cups/fc-mobile/fixture/gmac-8-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Cuatro grupos de cuatro jugadores y una fase final para los mejores clasificados.,NO,SI,,,,,
fcm-champions-32,fcm-comp-09,1,fc-mobile,GMAC Champions,32,32,Por definir,Por definir,8 grupos de 4 → Octavos → Final,groups,4,2,1,assets/cups/fc-mobile/portadas/gmac-9.png,assets/cups/fc-mobile/fixture/gmac-9-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Edición grande con fase inicial y rondas decisivas.,SI,SI,,,,,
fcm-rookie-16,fcm-comp-10,1,fc-mobile,Rookie Cup,16,16,Por definir,Por definir,Eliminación directa,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-10.png,assets/cups/fc-mobile/fixture/gmac-10-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Una copa pensada para jugadores nuevos en los torneos de GMAC.,NO,SI,,,,,
fcm-masters-16,fcm-comp-11,1,fc-mobile,Masters FC Mobile,16,16,Por definir,Por definir,Eliminación directa,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-11.png,assets/cups/fc-mobile/fixture/gmac-11-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Competencia de nivel alto para una edición con identidad más competitiva.,SI,SI,,,,,
fcm-champions-8,fcm-comp-12,1,fc-mobile,Copa de Campeones,8,8,Por definir,Por definir,Cuartos → Final,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-12.png,assets/cups/fc-mobile/fixture/gmac-12-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Reservada para campeones, finalistas o clasificados de ediciones anteriores.",NO,SI,,,,,
fcm-lastchance-16,fcm-comp-13,1,fc-mobile,Last Chance,16,16,Por definir,Por definir,Eliminación directa,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-13.png,assets/cups/fc-mobile/fixture/gmac-13-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Una última oportunidad para clasificar a una edición mayor o final de temporada.,NO,SI,,,,,
fcm-night-16,fcm-comp-14,1,fc-mobile,Nocturno,16,16,Por definir,Por definir,Eliminación directa,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-14.png,assets/cups/fc-mobile/fixture/gmac-14-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Cruces compactos en horario nocturno, ideal para una edición entre semana.",NO,SI,,,,,
fcm-weekend-32,fcm-comp-15,1,fc-mobile,Weekend Cup,32,32,Por definir,Por definir,8 grupos de 4 → Octavos → Final,groups,4,2,1,assets/cups/fc-mobile/portadas/gmac-15.png,assets/cups/fc-mobile/fixture/gmac-15-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Ocho grupos de cuatro y fase eliminatoria para disputar por etapas durante un fin de semana.,NO,SI,,,,,
fcm-revancha-8,fcm-comp-16,1,fc-mobile,Noche de Revancha,8,8,Por definir,Por definir,Cuartos → Final,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-16.png,assets/cups/fc-mobile/fixture/gmac-16-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Una edición corta para volver a enfrentar rivales de torneos anteriores.,NO,SI,,,,,
fcm-king-16,fcm-comp-17,1,fc-mobile,Rey de GMAC,16,16,Por definir,Por definir,Eliminación directa,knockout,,,1,assets/cups/fc-mobile/portadas/gmac-17.png,assets/cups/fc-mobile/fixture/gmac-17-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Un torneo temático de 16 jugadores para coronar al rey de la edición.,NO,SI,,,,,
fcm-open-32,fcm-comp-18,1,fc-mobile,Open FC Mobile,32,32,Por definir,Por definir,8 grupos de 4 → Octavos → Final,groups,4,2,1,assets/cups/fc-mobile/portadas/gmac-18.png,assets/cups/fc-mobile/fixture/gmac-18-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Open de 32 jugadores: ocho grupos de cuatro y eliminatorias para definir al campeón.,NO,SI,,,,,
fcm-copa-del-mundo,fcm-official-copa-del-mundo,1,fc-mobile,Copa del Mundo · FC Mobile,oficial,48,Por definir,Por definir,12 grupos de 4 → 2 primeros + 8 mejores terceros → Ronda de 32 → Final,groups,4,2,1,assets/cups/official/copa-del-mundo.png,assets/cups/official/copa-del-mundo.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Formato mundial de 48 participantes: doce grupos de cuatro, avanzan los dos primeros de cada grupo y los ocho mejores terceros; desde la Ronda de 32 se juega eliminación directa.",NO,SI,,,,,
fcm-uefa-champions-league,fcm-official-uefa-champions-league,1,fc-mobile,UEFA Champions League · FC Mobile,oficial,36,Por definir,Por definir,Fase liga de 36 · 8 partidos c/u → Top 8 a octavos · 9.º–24.º play-off → Final,league_phase,4,2,1,assets/cups/official/uefa-champions-league.png,assets/cups/official/uefa-champions-league.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Formato de fase liga: 36 participantes disputan ocho partidos ante rivales distintos; los ocho primeros avanzan a octavos y del 9.º al 24.º juegan un play-off previo.,NO,SI,,,,,
