competition_id,juego,nombre,categoria,copa_portada,copa_fixture,participantes_defecto,tipo_defecto,estructura_defecto,formato_defecto,tamano_grupo,clasifican_grupo,vueltas_grupo,regla_partidos,descripcion,orden,activo,copa_portada_avif,copa_fixture_avif,copa_portada_file_id,copa_fixture_file_id,copa_portada_url,copa_fixture_url,copa_biblioteca
ef-comp-01,efootball,GMAC Championship,Máxima categoría,assets/cups/efootball/portadas/oficial-1.png,assets/cups/efootball/fixture/oficial-1-minimalista.avif,64,64,groups,16 grupos de 4 → Ronda de 32 → Final,4,2,1,SOLO_IDA,"La máxima competición de eFootball de GMAC: 64 participantes, 16 grupos de cuatro y una fase eliminatoria de 32 clasificados.",1,SI,EFOOTBALL/PORTADAS/oficial-1.avif,EFOOTBALL/FIXTURE/oficial-1-minimalista.avif,,,,,EFOOTBALL
ef-comp-02,efootball,GMAC Major,Major,assets/cups/efootball/portadas/oficial-2.png,assets/cups/efootball/fixture/oficial-2-minimalista.avif,32,32,groups,8 grupos de 4 → Octavos → Final,4,2,1,SOLO_IDA,"Un torneo de élite con 32 jugadores: ocho grupos de cuatro, dos clasificados por grupo y eliminatorias desde octavos.",2,SI,EFOOTBALL/PORTADAS/oficial-2.avif,EFOOTBALL/FIXTURE/oficial-2-minimalista.avif,,,,,EFOOTBALL
ef-comp-03,efootball,GMAC Champions,Champions,assets/cups/efootball/portadas/oficial-3.png,assets/cups/efootball/fixture/oficial-3-minimalista.avif,32,32,groups,8 grupos de 4 → Octavos → Final,4,2,1,SOLO_IDA,"Una edición grande con 32 participantes, fase de grupos y rondas decisivas hasta coronar al campeón.",3,SI,EFOOTBALL/PORTADAS/oficial-3.avif,EFOOTBALL/FIXTURE/oficial-3-minimalista.avif,,,,,EFOOTBALL
ef-comp-04,efootball,Liga GMAC,Liga,assets/cups/efootball/portadas/oficial-4.png,assets/cups/efootball/fixture/oficial-4-minimalista.avif,16,16,league,Liga · 15 jornadas · todos contra todos,4,2,1,SOLO_IDA,Dieciséis jugadores se enfrentan todos contra todos. La tabla se define por puntos tras 15 jornadas por participante.,4,SI,EFOOTBALL/PORTADAS/oficial-4.avif,EFOOTBALL/FIXTURE/oficial-4-minimalista.avif,,,,,EFOOTBALL
ef-comp-05,efootball,Masters eFootball,Masters,assets/cups/efootball/portadas/oficial-5.png,assets/cups/efootball/fixture/oficial-5-minimalista.avif,16,16,knockout,Octavos → Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,Copa de nivel alto para 16 participantes con eliminación directa hasta la gran final.,5,SI,EFOOTBALL/PORTADAS/oficial-5.avif,EFOOTBALL/FIXTURE/oficial-5-minimalista.avif,,,,,EFOOTBALL
ef-comp-06,efootball,Supercopa eFootball,Supercopa,assets/cups/efootball/portadas/oficial-6.png,assets/cups/efootball/fixture/oficial-6-minimalista.avif,8,8,knockout,Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,"Una supercopa compacta de ocho jugadores, ideal para campeones, invitados o una edición premium.",6,SI,EFOOTBALL/PORTADAS/oficial-6.avif,EFOOTBALL/FIXTURE/oficial-6-minimalista.avif,,,,,EFOOTBALL
ef-relampago-pro,efootball,eFootball Pro Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/pro-cup.png,assets/cups/efootball/relampagos-oficiales/pro-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Serie Pro oficial de eFootball para ocho participantes.,7,SI,EFOOTBALL/PORTADAS/pro-cup.avif,EFOOTBALL/PORTADAS/pro-cup.avif,,,,,EFOOTBALL
ef-relampago-evolution,efootball,eFootball Evolution Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/evolution-cup.png,assets/cups/efootball/relampagos-oficiales/evolution-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Relámpago oficial de ocho jugadores inspirado en la evolución competitiva de eFootball.,8,SI,EFOOTBALL/PORTADAS/evolution-cup.avif,EFOOTBALL/PORTADAS/evolution-cup.avif,,,,,EFOOTBALL
ef-relampago-elite,efootball,eFootball Elite Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/elite-cup.png,assets/cups/efootball/relampagos-oficiales/elite-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Copa Elite oficial de eFootball para ocho participantes y eliminación directa.,9,SI,EFOOTBALL/PORTADAS/elite-cup.avif,EFOOTBALL/PORTADAS/elite-cup.avif,,,,,EFOOTBALL
ef-relampago-crystal,efootball,eFootball Crystal Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/crystal-cup.png,assets/cups/efootball/relampagos-oficiales/crystal-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,"Edición Crystal oficial de eFootball, compacta y a partido único.",10,SI,EFOOTBALL/PORTADAS/crystal-cup.avif,EFOOTBALL/PORTADAS/crystal-cup.avif,,,,,EFOOTBALL
ef-relampago-champions,efootball,eFootball Champions Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/champions-cup.png,assets/cups/efootball/relampagos-oficiales/champions-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Relámpago Champions oficial de eFootball reservado para ocho jugadores.,11,SI,EFOOTBALL/PORTADAS/champions-cup.avif,EFOOTBALL/PORTADAS/champions-cup.avif,,,,,EFOOTBALL
ef-relampago-impact,efootball,eFootball Impact Cup,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/impact-cup.png,assets/cups/efootball/relampagos-oficiales/impact-cup.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Copa Impact oficial de eFootball para una llave rápida de ocho participantes.,12,SI,EFOOTBALL/PORTADAS/impact-cup.avif,EFOOTBALL/PORTADAS/impact-cup.avif,,,,,EFOOTBALL
ef-relampago-bruno-fernandes,efootball,Cup Bruno Fernandes,Oficial eFootball · Relámpago,assets/cups/efootball/relampagos-oficiales/cup-bruno-fernandes.png,assets/cups/efootball/relampagos-oficiales/cup-bruno-fernandes.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,Relámpago oficial Cup Bruno Fernandes de eFootball para ocho participantes.,13,SI,EFOOTBALL/PORTADAS/cup-bruno-fernandes.avif,EFOOTBALL/PORTADAS/cup-bruno-fernandes.avif,,,,,EFOOTBALL
ef-official-copa-del-mundo,efootball,Copa del Mundo · eFootball,Selecciones,assets/cups/official/copa-del-mundo.png,assets/cups/official/copa-del-mundo.avif,48,oficial,groups,12 grupos de 4 → 2 primeros + 8 mejores terceros → Ronda de 32 → Final,4,2,1,SOLO_IDA,"Formato mundial de 48 participantes: doce grupos de cuatro, avanzan los dos primeros de cada grupo y los ocho mejores terceros; desde la Ronda de 32 se juega eliminación directa.",14,SI,COMPARTIDAS/copa-del-mundo.avif,COMPARTIDAS/copa-del-mundo.avif,,,,,COMPARTIDAS
ef-official-uefa-champions-league,efootball,UEFA Champions League · eFootball,Clubes,assets/cups/official/uefa-champions-league.png,assets/cups/official/uefa-champions-league.avif,36,oficial,league_phase,Fase liga de 36 · 8 partidos c/u → Top 8 a octavos · 9.º–24.º play-off → Final,4,2,1,SOLO_IDA,Formato de fase liga: 36 participantes disputan ocho partidos ante rivales distintos; los ocho primeros avanzan a octavos y del 9.º al 24.º juegan un play-off previo.,15,SI,COMPARTIDAS/uefa-champions-league.avif,COMPARTIDAS/uefa-champions-league.avif,,,,,COMPARTIDAS
ef-official-copa-libertadores,efootball,Copa Libertadores · eFootball,Clubes,assets/cups/official/copa-libertadores.png,assets/cups/official/copa-libertadores.avif,32,oficial,groups,8 grupos de 4 · solo ida → Octavos → Final,4,2,1,SOLO_IDA,"Treinta y dos participantes en ocho grupos de cuatro, con un solo partido contra cada rival del grupo. Los dos primeros avanzan a octavos y continúan por eliminatorias a partido único.",16,SI,COMPARTIDAS/copa-libertadores.avif,COMPARTIDAS/copa-libertadores.avif,,,,,COMPARTIDAS
ef-official-eurocopa,efootball,Eurocopa · eFootball,Selecciones,assets/cups/official/eurocopa.png,assets/cups/official/eurocopa.avif,24,oficial,groups,6 grupos de 4 → 2 primeros + 4 mejores terceros → Octavos → Final,4,2,1,SOLO_IDA,Veinticuatro participantes en seis grupos de cuatro; avanzan los dos primeros de cada grupo y los cuatro mejores terceros a octavos de final.,17,SI,COMPARTIDAS/eurocopa.avif,COMPARTIDAS/eurocopa.avif,,,,,COMPARTIDAS
ef-official-copa-america,efootball,Copa América · eFootball,Selecciones,assets/cups/official/copa-america.png,assets/cups/official/copa-america.avif,16,oficial,groups,4 grupos de 4 → Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,Dieciséis participantes repartidos en cuatro grupos de cuatro. Los dos primeros de cada grupo avanzan a cuartos de final.,18,SI,COMPARTIDAS/copa-america.avif,COMPARTIDAS/copa-america.avif,,,,,COMPARTIDAS
ef-official-mundial-de-clubes,efootball,Mundial de Clubes de la FIFA · eFootball,Clubes,assets/cups/official/mundial-de-clubes.png,assets/cups/official/mundial-de-clubes.avif,32,oficial,groups,8 grupos de 4 → Octavos → Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,Treinta y dos clubes en ocho grupos de cuatro a una sola vuelta. Los dos mejores de cada grupo avanzan a octavos y desde allí se juega a eliminación directa.,19,SI,COMPARTIDAS/mundial-de-clubes.avif,COMPARTIDAS/mundial-de-clubes.avif,,,,,COMPARTIDAS
ef-official-premier-league,efootball,Premier League · eFootball,Liga,assets/cups/official/premier-league.png,assets/cups/official/premier-league.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Liga de veinte participantes a una sola vuelta. Cada participante disputa 19 partidos y el campeón se define por la tabla de puntos.,20,SI,COMPARTIDAS/premier-league.avif,COMPARTIDAS/premier-league.avif,,,,,COMPARTIDAS
ef-official-laliga,efootball,LaLiga · eFootball,Liga,assets/cups/official/laliga.png,assets/cups/official/laliga.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Veinte participantes compiten en una sola vuelta durante 19 jornadas. Cada rival se enfrenta una sola vez y el primer lugar se corona campeón.,21,SI,COMPARTIDAS/laliga.avif,COMPARTIDAS/laliga.avif,,,,,COMPARTIDAS
ef-official-bundesliga,efootball,Bundesliga · eFootball,Liga,assets/cups/official/bundesliga.png,assets/cups/official/bundesliga.avif,18,oficial,league,Liga · 18 participantes · 17 jornadas · solo ida,4,2,1,SOLO_IDA,"Dieciocho participantes a una sola vuelta, con 17 jornadas y clasificación por puntos. Cada rival se enfrenta una sola vez.",22,SI,COMPARTIDAS/bundesliga.avif,COMPARTIDAS/bundesliga.avif,,,,,COMPARTIDAS
